timestamp,sample_index,top_features
6483,6483,"vibration (0.44), current (0.35)"
6588,6588,"vibration (0.53), temperature (0.34)"
6873,6873,"temperature (0.51), vibration (0.27)"
7045,7045,"temperature (0.48), vibration (0.44)"
7431,7431,"current (0.68), temperature (0.22)"
7521,7521,"current (0.52), vibration (0.47)"
7533,7533,"vibration (0.49), current (0.48)"
7644,7644,"current (0.67), vibration (0.23)"
7746,7746,"current (0.53), temperature (0.26)"
7997,7997,"current (0.58), temperature (0.33)"
8076,8076,"temperature (0.40), vibration (0.31)"
8094,8094,"current (0.67), temperature (0.29)"
8267,8267,"temperature (0.41), vibration (0.31)"
8680,8680,"current (0.64), vibration (0.34)"
8766,8766,"current (0.47), temperature (0.43)"
8898,8898,"vibration (0.40), temperature (0.33)"
8998,8998,"temperature (0.42), vibration (0.40)"
9483,9483,"current (0.41), temperature (0.38)"
10189,10189,"current (0.79), vibration (0.14)"
10525,10525,"current (0.55), temperature (0.41)"
10530,10530,"current (0.60), vibration (0.27)"
10707,10707,"current (0.54), vibration (0.32)"
10722,10722,"current (0.49), temperature (0.27)"
10876,10876,"vibration (0.46), current (0.37)"
11072,11072,"temperature (0.63), current (0.30)"
11222,11222,"current (0.43), temperature (0.41)"
11413,11413,"current (0.54), vibration (0.35)"
11527,11527,"vibration (0.41), current (0.38)"
12089,12089,"temperature (0.80), current (0.10)"
12611,12611,"current (0.81), temperature (0.16)"
12704,12704,"current (0.54), vibration (0.34)"
12719,12719,"current (0.60), temperature (0.25)"
12730,12730,"temperature (0.48), vibration (0.30)"
12737,12737,"current (0.43), vibration (0.41)"
12744,12744,"current (0.63), temperature (0.24)"
13485,13485,"temperature (0.60), current (0.25)"
13529,13529,"current (0.48), temperature (0.36)"
14229,14229,"current (0.52), temperature (0.35)"
14869,14869,"vibration (0.61), current (0.24)"
15025,15025,"current (0.69), temperature (0.28)"
15388,15388,"vibration (0.39), current (0.31)"
15638,15638,"temperature (0.50), current (0.34)"
16148,16148,"current (0.65), temperature (0.30)"
16288,16288,"current (0.83), vibration (0.16)"
16321,16321,"current (0.58), temperature (0.23)"
16634,16634,"current (0.63), vibration (0.35)"
17502,17502,"temperature (0.54), current (0.37)"
18787,18787,"current (0.47), vibration (0.30)"
19312,19312,"temperature (0.65), current (0.33)"
19664,19664,"temperature (0.76), current (0.13)"
19668,19668,"current (0.80), temperature (0.18)"
19848,19848,"temperature (0.80), vibration (0.13)"
20557,20557,"temperature (0.56), vibration (0.22)"
20811,20811,"temperature (0.44), vibration (0.32)"
21534,21534,"temperature (0.42), vibration (0.29)"
21568,21568,"vibration (0.49), temperature (0.43)"
